user_id,hotel_name,rating_norm,price_norm,near_station,restaurant,entertain,shopping_mall,convenience_store,star,district,destination,rating,price
,Siamese Nanglinchee,4.2,0.029500415,0.256410256,0.512820513,0.102564103,0.051282051,0.076923077,No preference,Bangkok,0,9,1412
,Siamese Nanglinchee,4.2,0.029500415,0.256410256,0.512820513,0.102564103,0.051282051,0.076923077,No preference,Bangkok,0,9,1412
,Siamese Nanglinchee,4.2,0.029500415,0.256410256,0.512820513,0.102564103,0.051282051,0.076923077,No preference,Bangkok,0,9,1412
,Siamese Nanglinchee,4.2,0.029500415,0.256410256,0.512820513,0.102564103,0.051282051,0.076923077,No preference,Bangkok,0,9,1412
,Siamhubbiz Hostel,2.6,0.061255488,0.240963855,0.240963855,0.240963855,0.036144578,0.240963855,No preference,Phaya Thai, Bangkok,8,2750
,Siamhubbiz Hostel,2.6,0.061255488,0.240963855,0.240963855,0.240963855,0.036144578,0.240963855,No preference,Phaya Thai, Bangkok,8,2750
,SilQ Bangkok Hotel,3.4,0.055322179,0.2,0.2,0.2,0.2,0.2,4,Wattana, Bangkok,8.5,2500
,SilQ Bangkok Hotel,3.4,0.055322179,0.2,0.2,0.2,0.2,0.2,4,Wattana, Bangkok,8.5,2500
,SilQ Bangkok Hotel,3.4,0.055322179,0.2,0.2,0.2,0.2,0.2,4,Wattana, Bangkok,8.5,2500
,SilQ Bangkok Hotel,3.4,0.055322179,0.2,0.2,0.2,0.2,0.2,4,Wattana, Bangkok,8.5,2500
,SilQ Bangkok Hotel,3.4,0.055322179,0.2,0.2,0.2,0.2,0.2,4,Wattana, Bangkok,8.5,2500
,Silom Bird House,4.2,0.026438828,0.2,0.2,0.2,0.2,0.2,2,Bang Rak, Bangkok,9,1283
,Silom Bird House,4.2,0.005078913,0.2,0.2,0.2,0.2,0.2,2,Bang Rak, Bangkok,9,1283
,Silom City Hotel,2.6,0.028028955,0.157894737,0.263157895,0.078947368,0.236842105,0.263157895,3,Bang Rak, Bangkok,8,1350
,Siri Poshtel Bangkok,4.2,0.033962264,0.238095238,0.317460317,0.111111111,0.111111111,0.222222222,No preference,Bangkok,0,9,1600
,Siri Sathorn Executive Serviced Residence,4.2,0.110857957,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,5,Bang Rak, Bangkok,9,4840
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,5,Bang Rak, Bangkok,9,4840
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,5,Bang Rak, Bangkok,9,4840
,Siri Sathorn Executive Serviced Residence,4.2,0.110857957,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,5,Bang Rak, Bangkok,9,4840
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,5,Bang Rak, Bangkok,9,4840
,Siri Sathorn Executive Serviced Residence,4.2,0.064791741,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,5,Bang Rak, Bangkok,9,4840
,Siri Sathorn Executive Serviced Residence,4.2,0.110857957,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,5,Bang Rak, Bangkok,9,4840
,Sitara Place Serviced Apartments,4.2,0.021858313,0.109090909,0.363636364,0.181818182,0.054545455,0.290909091,3,Din Daeng, Bangkok,9,1090
,Sivatel Bangkok,4.2,0.106348641,0.194029851,0.298507463,0.044776119,0.194029851,0.268656716,5,Pathumwan, Bangkok,9,4650
,Sivatel Bangkok,4.2,0.106348641,0.194029851,0.298507463,0.044776119,0.194029851,0.268656716,5,Pathumwan, Bangkok,9,4650
,Sivatel Bangkok,4.2,0.106348641,0.194029851,0.298507463,0.044776119,0.194029851,0.268656716,5,Pathumwan, Bangkok,9,4650
,Sleeplab Hostel,4.2,0.045354219,0.294117647,0.294117647,0.058823529,0.147058824,0.205882353,No preference,Pathumwan, Bangkok,9,2080
,Sleeplab Hostel,4.2,0.011178355,0.294117647,0.294117647,0.058823529,0.147058824,0.205882353,No preference,Pathumwan, Bangkok,9,2080
,Sleeplab Hostel,4.2,0.020671651,0.294117647,0.294117647,0.058823529,0.147058824,0.205882353,No preference,Pathumwan, Bangkok,9,2080
,Sleeplab Hostel,4.2,0.020671651,0.294117647,0.294117647,0.058823529,0.147058824,0.205882353,No preference,Pathumwan, Bangkok,9,2080
,Sofitel Bangkok Sukhumvit,4.2,0.649649935,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,5,Wattana, Bangkok,9,27542
,Sofitel Bangkok Sukhumvit,4.2,0,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,5,Wattana, Bangkok,9,27542
,Sofitel Bangkok Sukhumvit,4.2,0.1166726,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,5,Wattana, Bangkok,9,27542
,Sofitel Bangkok Sukhumvit,4.2,0.1166726,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,5,Wattana, Bangkok,9,27542
,Sofitel Bangkok Sukhumvit,4.2,0.1166726,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,5,Wattana, Bangkok,9,27542
,Sofitel Bangkok Sukhumvit,4.2,0,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,5,Wattana, Bangkok,9,27542
,Some Rest Hostel,4.2,0.00666904,0.206185567,0.206185567,0.206185567,0.175257732,0.206185567,No preference,Bangkok,0,9,450
,Some Rest Hostel,4.2,0.00666904,0.206185567,0.206185567,0.206185567,0.175257732,0.206185567,No preference,Bangkok,0,9,450
,Some Rest Hostel,4.2,0.038708912,0.206185567,0.206185567,0.206185567,0.175257732,0.206185567,No preference,Bangkok,0,9,450
,Some Rest Hostel,4.2,0.038708912,0.206185567,0.206185567,0.206185567,0.175257732,0.206185567,No preference,Bangkok,0,9,450
,Somerset Lake Point Bangkok,3.4,0.107891302,0.086206897,0.344827586,0.172413793,0.068965517,0.327586207,4,Khlong Toei, Bangkok,8.5,4715
,Somerset Lake Point Bangkok,3.4,0.055227246,0.086206897,0.344827586,0.172413793,0.068965517,0.327586207,4,Khlong Toei, Bangkok,8.5,4715
,Somerset Lake Point Bangkok,3.4,0.107891302,0.086206897,0.344827586,0.172413793,0.068965517,0.327586207,4,Khlong Toei, Bangkok,8.5,4715
,Somerset Lake Point Bangkok,3.4,0.107891302,0.086206897,0.344827586,0.172413793,0.068965517,0.327586207,4,Khlong Toei, Bangkok,8.5,4715
,Somerset Park Suanplu,2.6,0.105684111,0.307692308,0.384615385,0.057692308,0.038461538,0.211538462,4,Sathorn, Bangkok,8,4622
,Somerset Park Suanplu,2.6,0.057434437,0.307692308,0.384615385,0.057692308,0.038461538,0.211538462,4,Sathorn, Bangkok,8,4622
,Somerset Park Suanplu,2.6,0.057434437,0.307692308,0.384615385,0.057692308,0.038461538,0.211538462,4,Sathorn, Bangkok,8,4622
,Somerset Park Suanplu,2.6,0.057434437,0.307692308,0.384615385,0.057692308,0.038461538,0.211538462,4,Sathorn, Bangkok,8,4622
,Somerset Park Suanplu,2.6,0.057434437,0.307692308,0.384615385,0.057692308,0.038461538,0.211538462,4,Sathorn, Bangkok,8,4622
,Somerset Sukhumvit Thonglor,4.2,0.25928563,0,0.454545455,0.204545455,0.272727273,0.068181818,4,Wattana, Bangkok,9,11094
,Somerset Sukhumvit Thonglor,4.2,0.085938056,0,0.454545455,0.204545455,0.272727273,0.068181818,4,Wattana, Bangkok,9,11094
,Somerset Sukhumvit Thonglor,4.2,0.25928563,0,0.454545455,0.204545455,0.272727273,0.068181818,4,Wattana, Bangkok,9,11094
,Somerset Sukhumvit Thonglor,4.2,0.085938056,0,0.454545455,0.204545455,0.272727273,0.068181818,4,Wattana, Bangkok,9,11094
,Studio 62,4.2,0.017348997,0,0.75,0.083333333,0.083333333,0.083333333,No preference,Bangkok,0,9,900
,Sukhumvit 12 Bangkok Hotel & Suites,4.2,0.05577311,0.151898734,0.253164557,0.151898734,0.215189873,0.227848101,4,Khlong Toei, Bangkok,9,2519
,Sukhumvit 12 Bangkok Hotel & Suites,4.2,0.05577311,0.151898734,0.253164557,0.151898734,0.215189873,0.227848101,4,Khlong Toei, Bangkok,9,2519
,Summit Pavilion Hotel,1,0.067188798,0.15,0.5,0.05,0.05,0.25,4,Bangkok,0,7,3000
,Summit Pavilion Hotel,1,0.067188798,0.15,0.5,0.05,0.05,0.25,4,Bangkok,0,7,3000
,Suneta Hostel Khaosan,4.2,0.013836478,0.215053763,0.215053763,0.193548387,0.161290323,0.215053763,2,Bangkok,0,9,752
,Suneta Hostel Khaosan,4.2,0.00491278,0.215053763,0.215053763,0.193548387,0.161290323,0.215053763,2,Bangkok,0,9,752
,Suneta Hostel Khaosan,4.2,0.013836478,0.215053763,0.215053763,0.193548387,0.161290323,0.215053763,2,Bangkok,0,9,752
,Swissotel Le Concorde Bangkok,4.2,0.071959179,0.242857143,0.285714286,0.128571429,0.057142857,0.285714286,5,Huai Khwang, Bangkok,9,3201
,Swissotel Le Concorde Bangkok,4.2,0.147953008,0.242857143,0.285714286,0.128571429,0.057142857,0.285714286,5,Huai Khwang, Bangkok,9,3201
,Swissotel Le Concorde Bangkok,4.2,0.147953008,0.242857143,0.285714286,0.128571429,0.057142857,0.285714286,5,Huai Khwang, Bangkok,9,3201
,Swissotel Le Concorde Bangkok,4.2,0.147953008,0.242857143,0.285714286,0.128571429,0.057142857,0.285714286,5,Huai Khwang, Bangkok,9,3201
,T Hostel @ Rama4,4.2,0.013812745,0.294117647,0.392156863,0.098039216,0.058823529,0.156862745,No preference,Khlong Toei, Bangkok,9,751
,T Hostel @ Rama4,4.2,0.013812745,0.294117647,0.392156863,0.098039216,0.058823529,0.156862745,No preference,Khlong Toei, Bangkok,9,751
,T Hostel @ Rama4,4.2,0.027340691,0.294117647,0.392156863,0.098039216,0.058823529,0.156862745,No preference,Khlong Toei, Bangkok,9,751
,T Hostel @ Rama4,4.2,0.027340691,0.294117647,0.392156863,0.098039216,0.058823529,0.156862745,No preference,Khlong Toei, Bangkok,9,751
,THA City Loft Hotel,3.4,0.052948855,0.19047619,0.476190476,0.071428571,0.19047619,0.071428571,3,Wattana, Bangkok,8.5,2400
,THA City Loft Hotel,3.4,0.052948855,0.19047619,0.476190476,0.071428571,0.19047619,0.071428571,3,Wattana, Bangkok,8.5,2400
,THE NARA-RAM 3 SUITE Boutique Service Apartment,2.6,0.023044974,0.075,0.5,0.1,0.15,0.175,2,Bangkok,0,8,1140
,THE NARA-RAM 3 SUITE Boutique Service Apartment,2.6,0.023044974,0.075,0.5,0.1,0.15,0.175,2,Bangkok,0,8,1140
,Tanatawey Places,4.2,0.047727542,0.141176471,0.235294118,0.176470588,0.235294118,0.211764706,2,Bangkok,0,9,2180
,Tanatawey Places,4.2,0.047727542,0.141176471,0.235294118,0.176470588,0.235294118,0.211764706,2,Bangkok,0,9,2180
,Tanatawey Places,4.2,0.021858313,0.141176471,0.235294118,0.176470588,0.235294118,0.211764706,2,Bangkok,0,9,2180
,Tanatip Place,2.6,0.01260235,0.195121951,0.487804878,0.073170732,0.170731707,0.073170732,No preference,Din Daeng, Bangkok,8,700
,Tanatip Place,2.6,0.01260235,0.195121951,0.487804878,0.073170732,0.170731707,0.073170732,No preference,Din Daeng, Bangkok,8,700
,Tara Place,4.2,0.067188798,0.281690141,0.281690141,0.154929577,0.056338028,0.225352113,3,Bangkok,0,9,3000
,Tara Place,4.2,0.03158894,0.281690141,0.281690141,0.154929577,0.056338028,0.225352113,3,Bangkok,0,9,3000
,Tara Place,4.2,0.067188798,0.281690141,0.281690141,0.154929577,0.056338028,0.225352113,3,Bangkok,0,9,3000
,Ten Ekamai Suites by Aspira,2.6,0.064530675,0.162162162,0.540540541,0.108108108,0.162162162,0.027027027,No preference,Wattana, Bangkok,8,2888
,Ten Ekamai Suites by Aspira,2.6,0.064530675,0.162162162,0.540540541,0.108108108,0.162162162,0.027027027,No preference,Wattana, Bangkok,8,2888
,Ten Ekamai Suites by Aspira,2.6,0.064530675,0.162162162,0.540540541,0.108108108,0.162162162,0.027027027,No preference,Wattana, Bangkok,8,2888
,Tenface Bangkok,4.2,0.049388869,0.222222222,0.37037037,0.111111111,0.074074074,0.222222222,4,Pathumwan, Bangkok,9,2250
,Thai Cat Hostel,4.2,0.071935446,0.222222222,0.24691358,0.037037037,0.24691358,0.24691358,3,Pathumwan, Bangkok,9,3200
,Thai Cat Hostel,4.2,0.071935446,0.222222222,0.24691358,0.037037037,0.24691358,0.24691358,3,Pathumwan, Bangkok,9,3200
,Thamrongin Hotel,1,0.064815474,0.228571429,0.571428571,0.114285714,0,0.085714286,3,Bangkok,0,7,2900
,Thamrongin Hotel,1,0.064815474,0.228571429,0.571428571,0.114285714,0,0.085714286,3,Bangkok,0,7,2900
,Thanaree place,1,0.048202207,0.289473684,0.526315789,0.026315789,0,0.157894737,3,Chatuchak, Bangkok,7,2200
,The Backpack Hostel,4.2,0.03158894,0.188679245,0.377358491,0.056603774,0.169811321,0.20754717,No preference,Bang Rak, Bangkok,9,1500
,The Backpack Hostel,4.2,0.03158894,0.188679245,0.377358491,0.056603774,0.169811321,0.20754717,No preference,Bang Rak, Bangkok,9,1500
,The Blocks Hostel,4.2,0.003821051,0.159574468,0.212765957,0.20212766,0.212765957,0.212765957,1,Khlong Toei, Bangkok,9,330
,The Blocks Hostel,4.2,0.003821051,0.159574468,0.212765957,0.20212766,0.212765957,0.212765957,1,Khlong Toei, Bangkok,9,330
,The Capital Mansion,2.6,0.090922036,0.263157895,0.263157895,0.263157895,0.078947368,0.131578947,3,Phaya Thai, Bangkok,8,4000
,The Choice Residence,4.2,0.041082236,0.272727273,0.318181818,0.136363636,0.045454545,0.227272727,3,Chom Thong, Bangkok,9,1900
,The Choice Residence,4.2,0.018535659,0.272727273,0.318181818,0.136363636,0.045454545,0.227272727,3,Chom Thong, Bangkok,9,1900
,The Continent Bangkok by Compass Hospitality,2.6,0.090898303,0.183673469,0.204081633,0.204081633,0.204081633,0.204081633,5,Wattana, Bangkok,8,3999
,The Cube Hostel,4.2,0.005482378,0.202020202,0.202020202,0.202020202,0.191919192,0.202020202,3,Bang Rak, Bangkok,9,400
,The Dawin Nana,4.2,0.100367865,0.117647059,0.392156863,0.137254902,0.156862745,0.196078431,3,Khlong Toei, Bangkok,9,4398
,The Dawin Nana,4.2,0.048178474,0.117647059,0.392156863,0.137254902,0.156862745,0.196078431,3,Khlong Toei, Bangkok,9,4398
,The Dawin Nana,4.2,0.100367865,0.117647059,0.392156863,0.137254902,0.156862745,0.196078431,3,Khlong Toei, Bangkok,9,4398
,The Dawin Nana,4.2,0.048178474,0.117647059,0.392156863,0.137254902,0.156862745,0.196078431,3,Khlong Toei, Bangkok,9,4398
,The Hostel 16,4.2,0.002871722,0.155555556,0.444444444,0.044444444,0.088888889,0.266666667,No preference,Khlong Toei, Bangkok,9,290
,The Journey Hotel,4.2,0.016162335,0,0.64516129,0.064516129,0.064516129,0.225806452,3,Laksi, Bangkok,9,850
,The Journey Hotel,4.2,0.016162335,0,0.64516129,0.064516129,0.064516129,0.225806452,3,Laksi, Bangkok,9,850
,The Journey Hotel,4.2,0.016162335,0,0.64516129,0.064516129,0.064516129,0.225806452,3,Laksi, Bangkok,9,850
,The Local Surasak Hostel,4.2,0.001922392,0.243902439,0.487804878,0.073170732,0.073170732,0.12195122,2,Sathorn, Bangkok,9,250
,The Myth - Sud Sathorn,4.2,0.067995728,0.254545455,0.363636364,0.072727273,0.127272727,0.181818182,3,Sathorn, Bangkok,9,3034
,The Myth - Sud Sathorn,4.2,0.031992405,0.254545455,0.363636364,0.072727273,0.127272727,0.181818182,3,Sathorn, Bangkok,9,3034
,The Myth - Sud Sathorn,4.2,0.031992405,0.254545455,0.363636364,0.072727273,0.127272727,0.181818182,3,Sathorn, Bangkok,9,3034
,The Myth - Sud Sathorn,4.2,0.031992405,0.254545455,0.363636364,0.072727273,0.127272727,0.181818182,3,Sathorn, Bangkok,9,3034
,The Myth - Sud Sathorn,4.2,0.067995728,0.254545455,0.363636364,0.072727273,0.127272727,0.181818182,3,Sathorn, Bangkok,9,3034
,The Myth - Sud Sathorn,4.2,0.031992405,0.254545455,0.363636364,0.072727273,0.127272727,0.181818182,3,Sathorn, Bangkok,9,3034
,The Narathiwas Hotel & Residence Sathorn Bangkok,2.6,0.049388869,0.159090909,0.454545455,0.045454545,0.25,0.090909091,4,Sathorn, Bangkok,8,2250
,The Narathiwas Hotel & Residence Sathorn Bangkok,2.6,0.049388869,0.159090909,0.454545455,0.045454545,0.25,0.090909091,4,Sathorn, Bangkok,8,2250
,The Oasis Hostel,4.2,0.004295716,0.263157895,0.263157895,0.184210526,0.052631579,0.236842105,No preference,Bangkok,0,9,350
,The Orchid House 153,4.2,0.038708912,0.285714286,0.285714286,0.128571429,0.057142857,0.242857143,2,Bangkok,0,9,1800
,The Orchid House 153,4.2,0.038708912,0.285714286,0.285714286,0.128571429,0.057142857,0.242857143,2,Bangkok,0,9,1800
,The Park Residence @ Bangkok,2.6,0.071935446,0.240963855,0.240963855,0.21686747,0.060240964,0.240963855,3,Din Daeng, Bangkok,8,3200
,The Posh Phayathai,4.2,0.071698113,0.285714286,0.285714286,0.042857143,0.142857143,0.242857143,No preference,Pathumwan, Bangkok,9,3190
,The Raya Surawong Bangkok,2.6,0.073240774,0.2,0.2,0.2,0.2,0.2,3,Bang Rak, Bangkok,8,3255
,The Region,2.6,0.04345556,0.327868852,0.327868852,0.06557377,0.163934426,0.114754098,2,Bangkok,0,8,2000
,The Region,2.6,0.04345556,0.327868852,0.327868852,0.06557377,0.163934426,0.114754098,2,Bangkok,0,8,2000
,The Residence on Thonglor,4.2,0.151916459,0.027777778,0.555555556,0.194444444,0.083333333,0.138888889,4,Wattana, Bangkok,9,6570
,The Residence on Thonglor,4.2,0.073952771,0.027777778,0.555555556,0.194444444,0.083333333,0.138888889,4,Wattana, Bangkok,9,6570
,The Residence on Thonglor,4.2,0.151916459,0.027777778,0.555555556,0.194444444,0.083333333,0.138888889,4,Wattana, Bangkok,9,6570
,The Residence on Thonglor,4.2,0.073952771,0.027777778,0.555555556,0.194444444,0.083333333,0.138888889,4,Wattana, Bangkok,9,6570
,The Residence on Thonglor,4.2,0.151916459,0.027777778,0.555555556,0.194444444,0.083333333,0.138888889,4,Wattana, Bangkok,9,6570
,The Residence on Thonglor,4.2,0.151916459,0.027777778,0.555555556,0.194444444,0.083333333,0.138888889,4,Wattana, Bangkok,9,6570
,The Royal ThaTien Village,4.2,0.052948855,0.384615385,0.384615385,0.057692308,0.076923077,0.096153846,2,Bangkok,0,9,2400
,The Royal ThaTien Village,4.2,0.024468969,0.384615385,0.384615385,0.057692308,0.076923077,0.096153846,2,Bangkok,0,9,2400
,The Royal ThaTien Village,4.2,0.052948855,0.384615385,0.384615385,0.057692308,0.076923077,0.096153846,2,Bangkok,0,9,2400
,The Sathon Vimanda Hotel,2.6,0.032063605,0.243243243,0.540540541,0.027027027,0,0.189189189,3,Sathorn, Bangkok,8,1520
,The Sathon Vimanda Hotel,2.6,0.032063605,0.243243243,0.540540541,0.027027027,0,0.189189189,3,Sathorn, Bangkok,8,1520
,The Siam,4.2,1,0.302325581,0.465116279,0.069767442,0,0.162790698,5,Dusit, Bangkok,9,42304
,The Siam,4.2,1,0.302325581,0.465116279,0.069767442,0,0.162790698,5,Dusit, Bangkok,9,42304
,The Sukhothai Bangkok,4.2,0.17757209,0.24137931,0.344827586,0.051724138,0.120689655,0.24137931,5,Sathorn, Bangkok,9,7651
,The Tawana Bangkok,2.6,0.102788656,0.2,0.2,0.2,0.2,0.2,4,Bang Rak, Bangkok,8,4500
,The Tawana Bangkok,2.6,0.102788656,0.2,0.2,0.2,0.2,0.2,4,Bang Rak, Bangkok,8,4500
,The Vertical Suite,2.6,0.068138127,0.15625,0.3125,0.109375,0.3125,0.109375,4,Bangkok,0,8,3040
,The Warehouse Bangkok,2.6,0.071840513,0.21978022,0.21978022,0.164835165,0.186813187,0.208791209,3,Bangkok,0,8,3196
,The Warehouse Bangkok,2.6,0.071840513,0.21978022,0.21978022,0.164835165,0.186813187,0.208791209,3,Bangkok,0,8,3196
,The Yard Hostel,4.2,0.03158894,0.282608696,0.434782609,0.108695652,0.043478261,0.130434783,2,Phaya Thai, Bangkok,9,1500
,ThongLor Travellers Hostel and Cafe,4.2,0.050575531,0.206896552,0.344827586,0.155172414,0.086206897,0.206896552,No preference,Wattana, Bangkok,9,2300
,Tiger Lily Hostel,4.2,0.004770381,0.307692308,0.307692308,0.107692308,0.138461538,0.138461538,2,Bangkok,0,9,370
,Tiger Lily Hostel,4.2,0.004770381,0.307692308,0.307692308,0.107692308,0.138461538,0.138461538,2,Bangkok,0,9,370
,Tower Club At lebua,4.2,0.147644476,0.207792208,0.25974026,0.090909091,0.25974026,0.181818182,5,Bang Rak, Bangkok,9,6390
,Tower Club At lebua,4.2,0.147644476,0.207792208,0.25974026,0.090909091,0.25974026,0.181818182,5,Bang Rak, Bangkok,9,6390
,Trica Hostel,4.2,0.024468969,0.177777778,0.444444444,0.044444444,0.111111111,0.222222222,No preference,Bangkok,0,9,1200
,Trica Hostel,4.2,0.002634389,0.177777778,0.444444444,0.044444444,0.111111111,0.222222222,No preference,Bangkok,0,9,1200
,Trica Hostel,4.2,0.010229026,0.177777778,0.444444444,0.044444444,0.111111111,0.222222222,No preference,Bangkok,0,9,1200
